id,sb_id,name,reference,type,submethod,description,uses_feature_score,uses_composite_score,feature_groups,created_by,updated_by,created_at,updated_at,deleted_at,display_help,help_url
157,21,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
158,22,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
159,23,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
160,24,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
161,25,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
162,26,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
163,27,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
164,28,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
165,29,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
166,30,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
61,31,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
167,31,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
62,32,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
304,32,Schaefer 2008,A summary of epiphyseal union timings in Bosnian males. International Journal of Osteoarchaeology 18(5):536-545,Age,"",Age estimation based on epiphyseal fusion,true,false,,System,System,2018-12-08 16:50:35,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#schaefer-mc-2008
168,32,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
63,33,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
