se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1226,75,2,2,14.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1226,76,2,2,18.1,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1226,77,2,2,235,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1226,80,2,2,12.1,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1226,81,2,2,10.39,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1226,82,2,2,25.73,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,72,2,2,269,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,75,2,2,13.71,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,76,2,2,20.92,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,77,2,2,232,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,80,2,2,11.95,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,81,2,2,11.13,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1227,82,2,2,25.69,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,118,2,2,466,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,119,2,2,462,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,120,2,2,80,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,121,2,2,46.8,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,122,2,2,33.5,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,123,2,2,28.07,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,124,2,2,28.96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,125,2,2,23.76,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,131,2,2,26.85,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,132,2,2,23.66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,133,2,2,33.72,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1228,134,2,2,29.15,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,118,2,2,466,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,119,2,2,463,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,120,2,2,80,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,121,2,2,48.1,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,122,2,2,33.45,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
